,Scale,Magnitude
0,0.01,1.5039030798166042
1,0.21387755102040817,7.404404340596912
2,0.41775510204081634,9.572920685921952
3,0.6216326530612245,10.551812225488462
4,0.8255102040816327,11.06502335166807
5,1.029387755102041,11.36726704252694
6,1.233265306122449,11.562919015291044
7,1.437142857142857,11.69974484836926
8,1.6410204081632653,11.801550314434973
9,1.8448979591836736,11.88106924257282
10,2.0487755102040817,11.945550459405869
11,2.2526530612244895,11.999362577036278
12,2.4565306122448978,12.045281576640383
13,2.660408163265306,12.08515934002332
14,2.864285714285714,12.120286242020862
15,3.068163265306122,12.151596012782381
16,3.2720408163265304,12.179786167892203
17,3.4759183673469387,12.205391621023832
18,3.679795918367347,12.228831427149348
19,3.883673469387755,12.25043956767902
20,4.0875510204081635,12.27048593003396
21,4.291428571428571,12.289191058049429
22,4.495306122448979,12.306736816603552
23,4.6991836734693875,12.323274294504028
24,4.903061224489796,12.33892978794643
25,5.106938775510204,12.353809415654332
26,5.310816326530612,12.368002735908632
27,5.514693877551021,12.381585620310783
28,5.718571428571428,12.394622563718958
29,5.922448979591836,12.407168559362521
30,6.1263265306122445,12.419270633682677
31,6.330204081632653,12.430969111435545
32,6.534081632653061,12.442298664550291
33,6.737959183673469,12.453289185925133
34,6.941836734693878,12.463966520306032
35,7.145714285714286,12.474353077652289
36,7.349591836734694,12.484468349290562
37,7.553469387755102,12.49432934324164
38,7.75734693877551,12.503950952056929
39,7.961224489795918,12.513346264102193
40,8.165102040816327,12.522526827315517
41,8.368979591836734,12.531502872929815
42,8.572857142857142,12.540283505403572
43,8.77673469387755,12.548876863783828
44,8.980612244897959,12.557290258886201
45,9.184489795918367,12.565530289981792
46,9.388367346938775,12.573602944102598
47,9.592244897959183,12.581513680594114
48,9.796122448979592,12.589267503138888
49,10.0,12.596869021134491
